time,position_east(m),position_north(m),acceleration_east(m/s2),acceleration_north(m/s2)
294.0,-9233.91404625855,6030.4149521086365,0.0307019154715817,0.0255688037723302
295.0,-9267.02538314194,6052.557440104894,0.0329283054452389,0.0808760859072208
296.0,-9300.059341847314,6074.8252945598215,0.0773781780153513,0.1253664586693048
297.0,-9333.048516721525,6097.180275847204,0.0447838311665691,0.0871268324553966
298.0,-9365.972191207373,6119.680995338596,0.0655003883584868,0.1457382040098309
299.0,-9398.97352216998,6141.954272686504,-0.0776564767584204,-0.22744214348495
300.0,-9432.023399562546,6163.848720503971,-0.0485464299563318,-0.3788295304402709
301.0,-9465.04732838177,6185.326363194734,0.0259485733404289,-0.4168051267042756
302.0,-9498.181508024718,6206.238326165825,-0.1102508237236179,-0.565679719671607
303.0,-9531.66418446548,6226.525280080736,-0.3484967978147324,-0.6250090561807156
304.0,-9565.690690014628,6245.985540160909,-0.5438291083846707,-0.8266938347369432
305.0,-9600.256404913322,6264.618074675091,-0.5392093495465815,-0.8277255659922957
306.0,-9635.372527902276,6282.349134236574,-0.550408090261044,-0.901474952697754
307.0,-9671.043812323767,6299.080893506296,-0.5551614325377159,-0.999300291761756
308.0,-9707.21218279947,6314.982219335623,-0.4970860542089212,-0.8304334403946996
309.0,-9743.919439798105,6329.916450317949,-0.5388865229324438,-0.9670948470011352
310.0,-9781.15403948858,6343.9222995806485,-0.5273426918429323,-0.9283817196264864
311.0,-9818.858296110671,6357.111734861508,-0.4696569316147361,-0.8164139818400145
312.0,-9856.97536993245,6369.540180773474,-0.412817199685378,-0.7609893688932061
313.0,-9895.46714516022,6381.203542357311,-0.3747014059918001,-0.7650843281298876
314.0,-9934.252091398928,6392.21108086966,-0.2931710109405685,-0.6558230714872479
315.0,-9973.279625071998,6402.661017224193,-0.2425874343607574,-0.5576021578162909
316.0,-10012.482754109837,6412.645070282742,-0.1755953647661954,-0.4658832959830761
317.0,-10051.786471439524,6422.428773513995,-0.1005882918543648,-0.2003498272970318
318.0,-10091.166097530047,6432.081199677661,-0.0759087608312256,-0.1312770675867796
319.0,-10130.560061570955,6441.64710773062,-0.0143379503861069,-0.0865181107074022
320.0,-10169.918592617934,6451.371766408905,0.0354329939291346,0.1587506253272295
321.0,-10209.201426411164,6461.439466662705,0.0756972537492401,0.3430415755137801
322.0,-10248.398377217294,6471.7432956835255,0.0858829870994668,0.2361287670210003
323.0,-10287.52177923583,6482.282971508801,0.0735487875936087,0.2358468044549226
324.0,-10326.512410497671,6493.2974260235205,0.132770756696118,0.4747786894440651
325.0,-10365.32257060107,6504.958065901883,0.1804711584409233,0.6461853636428714
326.0,-10403.854921783231,6517.410957746208,0.2778089212370105,0.7922519659623504
327.0,-10442.02610800945,6530.844488496892,0.3611649559461511,0.9806389063596724
328.0,-10479.798080277804,6545.265105416067,0.39921395786223,0.9870861684903502
329.0,-10517.089642151695,6560.763924954459,0.480410394462524,1.0782026192173362
330.0,,,0.6230885857949033,1.158635932020843
331.0,,,0.7971700055641122,1.2708843713626266
332.0,,,0.952026549144648,1.424546199850738
333.0,,,1.0324660132173449,1.401475302875042
334.0,,,1.1268204135994893,1.4436406567692757
335.0,,,1.2198835079325363,1.4151247926056385
336.0,-10752.97410693366,6706.239008965902,1.3016031460720114,1.3577857241034508
337.0,-10781.796537607734,6732.513716258109,1.4160729784925934,1.3037947742268443
338.0,-10809.143216924364,6759.983704825863,1.4757513574440964,1.1952812755480409
339.0,-10834.935820489683,6788.57474540174,1.554075751308119,1.1210520081222055
340.0,-10859.283229897788,6817.912673120387,1.4451941572187934,0.7468871427699924
341.0,-10882.54171204692,6847.526757732965,1.088927258970216,0.2761568939313292
342.0,-10904.821339649645,6877.311258979142,0.97885454641073,0.1704166335985064
343.0,-10925.79321927036,6907.9955174494535,1.3077479820058215,0.8997572241351008
344.0,-10945.250986837023,6939.863796235062,1.5141120540502016,1.184020315296948
345.0,-10963.006924292364,6972.942803497426,1.701830111327581,1.210728476755321
346.0,-10978.857684322516,7007.216212416999,1.905177425185684,1.1944016572088003
347.0,-10992.616717724855,7042.66769640334,2.0917266278120223,1.178075066767633
348.0,-11004.864767150808,7078.945613430813,1.51098397638998,0.8264330411329865
349.0,-11016.15614800484,7115.779433596879,0.9566685719182716,0.5559031385928392
350.0,-11026.722215584654,7153.02395249065,0.7253132742189337,0.4106987277045846
351.0,-11036.557993909051,7190.666243067011,0.7302892554143909,0.3977716825902462
352.0,-11045.799648979126,7228.607899818569,0.594123254326405,0.2993661751970649
353.0,-11054.518336213368,7266.846991708502,0.5229678358300589,0.297435138374567
354.0,-11063.089380407007,7305.30366847571,0.1476430406037252,0.2175848772749304
355.0,-11071.943164975297,7343.877304025926,-0.2827403746487107,0.1169587830081582
356.0,-11081.169157393017,7382.562497759238,-0.3722078494320158,0.1115581830963492
357.0,-11090.68297748611,7421.349592851475,-0.2878276753763202,0.1019013589248061
358.0,-11100.807785736397,7460.0919613344595,-0.6109881571901496,-0.0447266092523932
359.0,-11111.794685519211,7498.603804142214,-0.8620915325300302,-0.2305256752297282
360.0,-11123.873729694256,7536.7343807527795,-1.0921443922270555,-0.3812661971896887
361.0,-11137.18543685475,7574.354482340626,-1.2326629854505882,-0.5104750227183104
362.0,-11151.577733444312,7611.373457167298,-1.0805894290679134,-0.6011267611756921
363.0,-11167.053769804596,7647.687541184016,-1.083739770721877,-0.7048908099532127
364.0,-11183.694864823512,7683.228462543338,-1.1650586586329157,-0.7731626573950052
365.0,-11201.580500617594,7717.899226153269,-1.2445407751656603,-0.8701577493920922
366.0,-11220.676702478171,7751.610291689634,-1.21056606649654,-0.95969807356596
367.0,-11240.736018309197,7784.436372493394,-0.9631139704433735,-0.8849847326055169
368.0,-11261.556303047371,7816.569737937301,-0.7609689071541652,-0.692715359851718
369.0,-11283.215558259835,7848.0089821424335,-0.8389704742876347,-0.6941212387755513
370.0,-11305.850183718663,7878.705343784764,-0.9753702463640366,-0.7428825628012419
371.0,-11329.653051573638,7908.493606497534,-1.1682423961465247,-0.9080989295616746
372.0,-11354.715165508474,7937.350247615017,-1.2592460798623506,-0.9316215952858328
373.0,-11380.977659776428,7965.359300010838,-1.2003803331172094,-0.8475887216627598
374.0,-11408.347070533026,7992.432651847601,-1.1069164886430372,-0.9357005590572952
375.0,-11436.76755992169,8018.547346330248,-1.051078632066492,-0.9586573541164398
376.0,-11465.79406148629,8044.343073789962,-0.6060121759364847,-0.3189670229330659
377.0,-11494.956161322623,8070.381174521521,-0.1355982717359438,0.2423732718452811
378.0,-11523.853343034803,8097.132567837834,0.2649181241577025,0.7132925847545266
379.0,-11552.294871807217,8124.742261937819,0.4556529397668782,0.8583007836714387
380.0,-11579.700739697058,8153.631490816362,1.035660882567754,1.2795347785577178
381.0,-11605.150646210008,8184.387690203264,1.9559613768942652,1.8669705083593728
382.0,-11627.909582144202,8217.147562146187,2.6909705787547864,2.0036725560203195
383.0,-11648.125958644814,8251.510821598582,2.5425594335829373,1.6033875094726682
384.0,-11665.698920253111,8287.297535870224,2.643414892314468,1.4234548192471266
385.0,-11680.597954296769,8324.262895200402,2.673927564639598,1.1786450585350394
386.0,-11692.335002732172,8362.327601268888,3.1619856082543265,1.099346738308668
387.0,-11701.030246081677,8401.201698955148,3.0418050859007053,0.8093916177749634
388.0,-11706.97196843056,8440.595928219147,2.753521000617184,0.5201315777376294
389.0,-11710.342388653313,8480.314506165683,2.5713021261326503,0.3243486825376749
